Student Name,Favorite Food
Linoel,Beef
Jdavie,Mushroom
Rochella,Pasta
Hymie,Soup
Jessy,Vegetable
Conway,Chicken
Stephan,Mushroom
Eachelle,Chicken
Hadrian,Chicken
Torrance,Soup
Jethro,Mushroom
Saleem,Beef
Nettle,Mushroom
Leonanie,Pasta
Kris,Lobster
Jemmie,Beef
Nikolaos,Pasta
Vinni,Mushroom
Vally,Lobster
Oralie,Mushroom
Reinaldo,Soup
Oliver,Pasta
Sutherlan,Soup
Dagny,Chicken
Drusilla,Vegetable
Jerrylee,Beef
Heloise,Mushroom
Leeland,Lobster
Gan,Mushroom
Pen,Vegetable
April,Chicken
Karlik,Mushroom
Ulric,Chicken
Tuck,Pasta
Cybill,Lobster
Arther,Pasta
Benedetta,Mushroom
Marcelo,Beef
Colver,Chicken
Loraine,Vegetable
Yevette,Lobster
Candida,Mushroom
Nell,Pasta
Cally,Soup
Ruby,Lobster
Lukas,Beef
Leticia,Lobster
Horton,Chicken
Hervey,Lobster
Bathsheba,Pasta
Mandie,Beef
Clara,Mushroom
Merralee,Soup
Elianore,Lobster
Wrennie,Lobster
Filide,Beef
Hy,Chicken
Mandy,Mushroom
Chlo,Lobster
Penn,Vegetable
Belva,Lobster
Sargent,Mushroom
Darby,Pasta
Mersey,Lobster
Quintana,Lobster
Ximenes,Pasta
Theodosia,Mushroom
Mervin,Vegetable
Ban,Chicken
Fletch,Pasta
Ellette,Vegetable
Karla,Mushroom
Peta,Beef
Lizbeth,Vegetable
Robbin,Pasta
Tades,Pasta
Ezra,Chicken
Gretel,Mushroom
Goldia,Soup
Cyndie,Vegetable
Margaretha,Mushroom
Eldridge,Beef
Sammie,Pasta
Ellene,Chicken
Zabrina,Mushroom
Brady,Lobster
Myrna,Vegetable
Dame,Beef
Jenifer,Pasta
Hilarius,Chicken
Jesselyn,Chicken
Patsy,Soup
Giselbert,Pasta
Wildon,Mushroom
Goddart,Chicken
Aubree,Chicken
Corrine,Beef
Marietta,Mushroom
Mady,Pasta
Alfy,Vegetable
Saundra,Pasta
Ty,Mushroom
Salvidor,Soup
Johnette,Mushroom
Aloise,Soup
Philomena,Mushroom
Ursula,Chicken
Abbott,Chicken
Berty,Chicken
Korie,Mushroom
Siana,Lobster
Toby,Lobster
Cyndia,Mushroom
Freddy,Mushroom
Kin,Mushroom
Ingelbert,Lobster
Faina,Chicken
Pauli,Lobster
Luke,Lobster
Wynne,Mushroom
Christen,Beef
Hildegaard,Mushroom
Brooks,Mushroom
Kristoffer,Mushroom
Enrico,Lobster
Anjela,Mushroom
Leupold,Mushroom
Aldus,Mushroom
Brigitta,Mushroom
Walliw,Pasta
Forester,Chicken
Hinze,Beef
Roxy,Mushroom
Marlow,Pasta
Ethan,Vegetable
Terrell,Beef
Brion,Lobster
Ulrike,Mushroom
Grayce,Chicken
Sherm,Mushroom
Vonny,Beef
Aleksandr,Lobster
Andrew,Vegetable
Elsey,Mushroom
Elbertine,Lobster
Calv,Chicken
Denny,Beef
Michel,Pasta
Florina,Vegetable
Sarita,Vegetable
Darin,Soup
Eugenia,Pasta
Jozef,Soup
Bobbie,Vegetable
Nick,Beef
Cassi,Soup
Sher,Vegetable
Bale,Soup
Ethan,Lobster
Gilly,Lobster
Fransisco,Mushroom
De witt,Vegetable
Bernice,Mushroom
Flossi,Lobster
Luciano,Pasta
Naoma,Pasta
Luisa,Beef
Oberon,Mushroom
Sly,Soup
Sheila,Chicken
Fax,Beef
Chris,Mushroom
Tomasine,Pasta
Verne,Mushroom
Janean,Mushroom
Filberte,Pasta
Brit,Soup
Sarajane,Pasta
Cami,Soup
Myriam,Mushroom
Thebault,Mushroom
Lonni,Soup
Salvatore,Vegetable
Konstance,Pasta
Liane,Lobster
Marylin,Vegetable
Nicolette,Mushroom
Thornie,Chicken
Dugald,Chicken
Dorine,Soup
Minda,Mushroom
Angelique,Vegetable
Maegan,Mushroom
Chryste,Vegetable
Bess,Mushroom
Tonya,Vegetable
Glynnis,Mushroom
Millie,Lobster
Binni,Beef
Asia,Mushroom
Marje,Pasta
Micheline,Lobster
Clotilda,Mushroom
Pippy,Mushroom
Lexis,Chicken
Huntley,Pasta
Jeremiah,Vegetable
Kalila,Pasta
Sallie,Pasta
Lenna,Beef
Marshall,Pasta
Rosanne,Pasta
Tybalt,Beef
Louie,Chicken
Ramsey,Pasta
Clive,Soup
Betta,Vegetable
Jana,Chicken
Bale,Mushroom
Emmeline,Chicken
Marena,Lobster
Peter,Mushroom
Evita,Vegetable
Crawford,Soup
Skipper,Vegetable
Marisa,Soup
Aguie,Lobster
Jorey,Soup
Giralda,Vegetable
Evelina,Mushroom
Glendon,Mushroom
Lezlie,Soup
Hanan,Lobster
Brandon,Mushroom
Ninnette,Vegetable
Constancia,Mushroom
Bald,Chicken
Traver,Mushroom
Pace,Vegetable
Van,Chicken
Fern,Lobster
Georgia,Vegetable
Desiri,Beef
Carmine,Lobster
Nerita,Vegetable
Armand,Beef
Jorey,Mushroom
Ron,Beef
Linoel,Mushroom
Vannie,Mushroom
Sioux,Chicken
Gerald,Mushroom
Adelice,Mushroom
Harwilll,Lobster
Cordell,Soup
Randee,Vegetable
Nadine,Mushroom
Haleigh,Pasta
Doll,Lobster
Eldon,Beef
Graeme,Vegetable
Bord,Chicken
Caren,Lobster
Amalie,Lobster
Gaston,Mushroom
Verene,Chicken
Anjanette,Mushroom
Nils,Soup
Dyann,Soup
Gerianne,Mushroom
Shawn,Mushroom
Niki,Pasta
Lenard,Vegetable
Rutherford,Mushroom
Lois,Vegetable
Fionnula,Vegetable
Therese,Mushroom
Hildagard,Beef
Sallie,Mushroom
Heath,Mushroom
Zorana,Vegetable
Ag,Vegetable
Tait,Pasta
Pembroke,Pasta
Chen,Chicken
Natale,Chicken
Merrielle,Mushroom
Jourdain,Mushroom
Brendis,Soup
Ignacio,Lobster
Shaughn,Soup
Braden,Chicken
Eustace,Vegetable
Lorianna,Pasta
Horst,Chicken
Conan,Mushroom
Morissa,Lobster
Maitilde,Mushroom
Nichol,Vegetable
Karleen,Mushroom
Shermy,Soup
Roddie,Chicken
Tasha,Beef
Doy,Vegetable
Kristofer,Vegetable
Bar,Pasta
Marji,Pasta
Heath,Mushroom
Ashien,Soup
Manya,Lobster
Clemmy,Chicken
Devondra,Chicken
Emili,Mushroom
Glen,Beef
Crichton,Vegetable
Tomasina,Mushroom
Patten,Vegetable
Arabelle,Soup
Tobey,Chicken
Gwendolin,Chicken
Farrand,Vegetable
Yanaton,Beef
Sherwynd,Beef
Rozele,Soup
Allyson,Beef
Gary,Soup
Robby,Mushroom
Gertrud,Mushroom
Waldemar,Mushroom
Garnet,Chicken
Gizela,Vegetable
Aldrich,Mushroom
Constancy,Mushroom
Felita,Pasta
Marie,Beef
Brandy,Chicken
Fredrika,Pasta
Riccardo,Chicken
Lola,Beef
Jackson,Chicken
Berenice,Mushroom
Job,Chicken
Tremayne,Lobster
Carroll,Vegetable
Dorelle,Vegetable
Janey,Chicken
Josee,Lobster
Dani,Beef
Elka,Mushroom
Nehemiah,Lobster
Betteanne,Chicken
Petr,Beef
Nevsa,Soup
Daile,Chicken
Maddy,Mushroom
Radcliffe,Lobster
Willie,Vegetable
Lawry,Lobster
Dannie,Soup
Ingeberg,Vegetable
Niall,Mushroom
Jori,Pasta
Lauri,Beef
Lizbeth,Pasta
Neron,Mushroom
Darby,Vegetable
Morena,Lobster
Erik,Lobster
Gennie,Soup
Trisha,Pasta
Alverta,Pasta
Kaine,Mushroom
Bunny,Lobster
Julienne,Pasta
Duke,Chicken
Gladi,Mushroom
Giuseppe,Chicken
Carmen,Soup
Weidar,Vegetable
Killy,Vegetable
Letitia,Soup
Lura,Mushroom
Corney,Lobster
Indira,Vegetable
Jeddy,Beef
Christoffer,Mushroom
Nanine,Mushroom
Nicolina,Pasta
Ellen,Mushroom
Les,Mushroom
Ursa,Beef
Annissa,Beef
Margeaux,Chicken
Alexina,Mushroom
Caron,Chicken
Prue,Soup
Anselma,Lobster
Vernon,Pasta
Kim,Beef
Hannis,Chicken
Robbi,Vegetable
Feodora,Mushroom
Cobb,Vegetable
Consalve,Vegetable
Willetta,Soup
Diann,Mushroom
Kiley,Beef
Georgetta,Chicken
Joshua,Chicken
Bendick,Vegetable
Gladi,Pasta
Kath,Lobster
Luca,Beef
Nye,Lobster
Kaiser,Mushroom
Michel,Lobster
Orv,Mushroom
Lu,Chicken
Sascha,Soup
Opaline,Pasta
Tadd,Lobster
Orion,Soup
Shoshanna,Mushroom
Rosaline,Mushroom
Brinna,Pasta
Gretel,Beef
Elianore,Lobster
Redd,Vegetable
Bethena,Mushroom
Jodie,Beef
Bettina,Pasta
Ferris,Beef
Avery,Pasta
Elyn,Soup
Jilly,Soup
Candie,Beef
Bernete,Pasta
Shannan,Beef
Pauline,Vegetable
Stefanie,Vegetable
Marge,Pasta
Sibbie,Mushroom
Raimondo,Chicken
Ruddie,Chicken
Aline,Pasta
Cammy,Lobster
Iver,Soup
Rosana,Pasta
Rikki,Mushroom
Tessie,Chicken
Jenilee,Pasta
Barnabas,Beef
Tito,Soup
Shaine,Soup
Leonora,Beef
Noach,Vegetable
Bevvy,Vegetable
Zorana,Mushroom
Hy,Lobster
Virginie,Soup
Shelden,Beef
Janeta,Chicken
Gigi,Soup
Arabella,Pasta
Chad,Mushroom
Lauryn,Pasta
Ronalda,Lobster
Glynda,Pasta
Carlin,Lobster
Billy,Mushroom
Deina,Lobster
Albrecht,Beef
Osmond,Pasta
Currey,Soup
Vivia,Pasta
Piggy,Vegetable
Hale,Mushroom
Henrik,Pasta
Godiva,Pasta
Gianni,Lobster
Clementina,Lobster
Robinson,Soup
Marijo,Beef
Haily,Beef
Gunther,Beef
Keefer,Mushroom
Joyce,Lobster
Megan,Beef
Alphard,Soup
Dru,Chicken
Olivie,Chicken
Cinderella,Lobster
Karola,Beef
Margret,Mushroom
Lucas,Soup
Mildred,Mushroom
Johanna,Pasta
Nalani,Mushroom
Emory,Pasta
Fannie,Soup
Nomi,Lobster
Sigfried,Beef
Orsa,Lobster
Gelya,Vegetable
Trixi,Vegetable
Idaline,Mushroom
Chick,Lobster
Alvina,Chicken
Vin,Beef
